"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"l4xWQtzSYxsbg7rbGcYQWIucScbm5_9m-uASIzhJXsSnrkSNVFlpdiJgyhqygJm-","2022-01-15 23:55:05","2022-01-16 00:00:56","2022-01-16 00:00:56","","60bd013b6f4b59f3280a0ff8","61e19414185ab41992e2afa7","61e350c35772f853e7e342ec","25","25","40","60","85","85","86","85","120","120","30","60","60","120","120","4"
"RdtgstbOIVD-gqeoXXioicU9dTwqzCUlwZFy8_HSdLxANaJu3vuX-dkzMLV6iIpH","2022-01-15 23:55:05","2022-01-15 23:59:53","2022-01-15 23:59:53","","60fdc9558b132366c2a72f1a","61e19414185ab41992e2afa7","61e350c2c4ca3b79487e6df2","23","27","42","53","90","109","90","80","135","160","43","55","83","100","120","4"
"SzO9sC3DQZL9Rl66eTPHCbiQQUtJZ0ewOFhIF_7FkHyeLGClP_kFUm0FSj-D2TkU","2022-01-15 23:55:06","2022-01-16 00:01:22","2022-01-16 00:01:22","","6070cfb276c26c04581246df","61e19414185ab41992e2afa7","61e350c3d793c8fe55ca39a2","12","30","50","60","90","90","120","150","150","180","60","90","120","150","150","4"
"NzcohZdEEPWl7cVa43vKw79k1Q3bOoCJrO-nBL9J4WvvXt0R_3sr4lgLQXHyjkWS","2022-01-15 23:55:07","2022-01-15 23:58:22","2022-01-15 23:58:22","","5d5dcebf4cb63d00193fde3b","61e19414185ab41992e2afa7","61e350c3d54cfb91987271ed","25","25","40","60","75","120","120","120","120","120","60","60","60","90","120","4"
"gUWi5rIvcl0P9OqbLzfgcMmGhLYuFE-aPQZRlaZssMfIn5mZPfYMxC5KWeQlAbCG","2022-01-15 23:55:07","2022-01-16 00:00:44","2022-01-16 00:00:44","","5d60061e45714d00019ad6a4","61e19414185ab41992e2afa7","61e350c3f4e631db348a0882","15","20","40","51","80","200","200","200","200","200","65","70","75","80","140","4"
"zrV04ae-LoG112WIW2t_Kg38Xka_BByQ-6Rw7F01fI7B8b16uk7kAJfto6MYXv-I","2022-01-15 23:55:07","2022-01-15 23:59:11","2022-01-15 23:59:11","","616336d61cc92e17b2b7815a","61e19414185ab41992e2afa7","61e350c4e66a7b71d2c0809e","45","45","45","60","90","120","150","160","135","165","70","100","120","135","140","4"
"EcV7DtakWGWtvQlLETIBjh9MOH384hV6IPrTH5vJgq2Q8M8KetVUihyHDCZ5DlzM","2022-01-15 23:55:08","2022-01-15 23:59:54","2022-01-15 23:59:54","","615af8f2e9bd7320931448dc","61e19414185ab41992e2afa7","61e350c00bc5373f76c2d1c1","30","30","45","60","90","150","150","150","150","150","60","60","60","90","120","4"
"3dDCgxbJ7zjsMrBhU4Pmu06pTodUG9HiNhVxaj9qUWFWCTzLGeYY8QkBLMzdhroZ","2022-01-15 23:55:08","2022-01-15 23:59:44","2022-01-15 23:59:44","","602445b2bde34010a48b49a8","61e19414185ab41992e2afa7","61e350c4153e9d9d69cba3d6","60","60","60","60","80","90","90","90","90","120","45","45","60","90","120","4"
"G51qtfzfydeYgegNGFSS6UkavvUWJzkomyzosyjNRoEqN9nAOlZ2ddJLy6LVjJOd","2022-01-15 23:55:08","2022-01-15 23:59:20","2022-01-15 23:59:20","","606ed2e0a1ae49d5e5911dec","61e19414185ab41992e2afa7","61e350c52e11b4b2f252bae5","25","30","45","60","100","110","110","110","110","120","45","45","70","90","120","4"
"VPFJ-XGfsV-iJ-Mg00HFvVFazXbxnVfXut8FUKa5fFZQjnFQ6TAG7suJz1XS9-zt","2022-01-15 23:55:09","2022-01-16 00:00:08","2022-01-16 00:00:08","","5fc51d0db609ae0e6834a36d","61e19414185ab41992e2afa7","61e350c494832861c3e2bb5a","30","30","40","60","90","120","120","120","120","120","20","60","60","90","120","4"
"gyv_6X6ADE9S_wd99f9ptr2ZrSaFRMMgAOQO2YSnJkQM385D4c9CZJToU9mt_H3M","2022-01-15 23:55:11","2022-01-15 23:57:43","2022-01-15 23:57:43","","5eb878b706340e7d115c8ac6","61e19414185ab41992e2afa7","61e350c521ecc5d23a548820","20","30","40","60","75","90","90","90","90","120","30","45","60","90","120","4"
