"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"JbtBhKqpSo0swPt7sSbiGlJongcFu0qOQYX8zPYo6iPpA1PIycsvuU4CC8P6Kjy9","2022-01-16 17:46:26","2022-01-16 17:48:43","2022-01-16 17:48:43","","5e8dc6bc28369e029ed35df8","61e367685623b9b3189455fa","61e44be017ff016894ba2d2e","30","30","40","50","70","120","120","120","85","100","20","30","55","75","105","4"
"1q6795L9VimNYiRWCub0nWca0-qZDIaqkupf0JNphDclqYtpg_zihTNBJ0_lS_AY","2022-01-16 17:47:20","2022-01-16 17:51:58","2022-01-16 17:51:58","","5f934703aa175f1048ff6883","61e367685623b9b3189455fa","61e44c0a69b86e86f34bbe94","15","20","35","55","80","33","48","65","90","106","16","31","57","76","106","4"
"zBtbekS8NQwsvOMoTt9yaRXAf3DLul-G21FgKZtEgPO1yaOWL5LjFQ8vJGE1ICR_","2022-01-16 17:48:03","2022-01-16 17:50:44","2022-01-16 17:50:44","","5ebdb2d48565890e4efe91d5","61e367685623b9b3189455fa","61e44c3f52245a8ac8a311b5","20","30","45","60","80","30","45","60","85","100","15","30","55","75","105","4"
"dLwE9DaL6WbakT_1axxccalKA5Q6rALuNi52lkw9f2avOHgokHuuZAhGXVm4czdm","2022-01-16 17:48:06","2022-01-16 17:50:20","2022-01-16 17:50:20","","5ebf9fdd4553ff23bcf181eb","61e367685623b9b3189455fa","61e44c41a732427f6b9a5023","15","21","35","50","70","90","90","90","90","100","16","31","56","76","106","4"
"YbXZ30pXd_7LszUViJLrnw0XuVnVA8oeK555FVEdlt0kKbeEslPNzTS4_N6VZit4","2022-01-16 17:48:16","","","","61085dfbae10751ebeaf6c95","61e367685623b9b3189455fa","61e44c4d04b379526e2a418b","","","","","","","","","","","","","","","",""
"kJ-0OOJ-5RyZo1RuUMJ0P-C0C85eh2DePRNsM700fCSwwFiT0fDd_Uwfpf-bVTGv","2022-01-16 17:49:42","2022-01-16 17:51:57","2022-01-16 17:51:57","","5aa82bc235237b0001131a33","61e367685623b9b3189455fa","61e44ca11aff425d77a1cd5b","30","30","60","60","80","35","50","65","90","105","20","35","60","90","115","4"
"4eRsUB7PN5GzcRM_P1-lzvdp3aX3v_gNhHAyhu8AbNM28sRRE4WaGV4pP7eK3pIZ","2022-01-16 17:51:30","2022-01-16 17:54:00","2022-01-16 17:54:00","","57843b986475d400015a8e45","61e367685623b9b3189455fa","61e44d0e9b7a15802872843f","10","20","40","50","70","30","50","60","90","105","20","30","60","80","110","4"
"NZRFcWRpWZ7JU7TSNFEmbCapprS4PStICQd-sgpXCOrD-nTCFjQ-oOw1SMlvTfYm","2022-01-16 17:51:32","2022-01-16 17:53:19","2022-01-16 17:53:19","","5feb684b2178d1c246454263","61e367685623b9b3189455fa","61e44d11c766e6759b162dbe","30","30","90","90","90","120","120","120","120","120","15","30","55","75","105","4"
"om1G3P5VhcadHdJG7u2vHQdMODxZ7aRNMxSoEcOXmEvP0w0WxojBl2IyDUBE-n5X","2022-01-16 17:52:38","2022-01-16 17:59:28","2022-01-16 17:59:28","","6007626d299a4c1474621584","61e367685623b9b3189455fa","61e44d4b50b061b702d98865","10","20","35","50","70","30","45","60","85","100","20","35","60","80","110","4"
"nvB8j5O65v2LwKKlWijkkMo-XBOiVF7NOBBB9zjFWjmzHgvCO8Fl4Wh45YKt8g8S","2022-01-16 17:52:44","2022-01-16 17:55:59","2022-01-16 17:55:59","","616c5753342a82e85efcc9bb","61e367685623b9b3189455fa","61e44d5582c79031a478d5c8","25","25","35","50","70","90","90","90","90","100","15","30","55","75","105","4"
