"Subject","Story","Level","Context","Prediction","T_val","z_score"
80,"cake",4,"Social",50,50,0.821621623736688
80,"cake",5,"Social",70,70,0.67434198032924
81,"cake",1,"Social",20,10,0.109780395068684
81,"cake",2,"Social",30,20,0.262960788316815
81,"cake",3,"Social",35,35,0.805410131535918
81,"cake",4,"Social",60,50,0.66682334680079
81,"cake",5,"Social",90,70,1.32075263602946
82,"cake",1,"Social",20,10,0.109780395068684
82,"cake",2,"Social",25,20,0.373234667288383
82,"cake",3,"Social",40,35,0.169560027691772
82,"cake",4,"Social",52,50,0.523932629629193
82,"cake",5,"Social",70,70,0.67434198032924
83,"cake",1,"Social",10,10,1.06163353150236
83,"cake",2,"Social",36,20,1.02639533504305
83,"cake",3,"Social",40,35,0.169560027691772
83,"cake",4,"Social",60,50,0.66682334680079
83,"cake",5,"Social",90,70,1.32075263602946
84,"cake",1,"Social",13,10,0.77607759057226
84,"cake",2,"Social",22,20,0.754951940651502
84,"cake",3,"Social",35,35,0.805410131535918
84,"cake",4,"Social",50,50,0.821621623736688
84,"cake",5,"Social",70,70,0.67434198032924
85,"cake",1,"Social",16,10,0.490521649642156
85,"cake",2,"Social",24,20,0.500473758409423
85,"cake",3,"Social",40,35,0.169560027691772
85,"cake",4,"Social",52,50,0.523932629629193
85,"cake",5,"Social",72,70,0.47483251869337
86,"cake",1,"Social",12,10,0.871262904215628
86,"cake",2,"Social",22,20,0.754951940651502
86,"cake",3,"Social",37,35,0.55107008999826
86,"cake",4,"Social",52,50,0.523932629629193
86,"cake",5,"Social",72,70,0.47483251869337
87,"cake",1,"Social",30,10,0.842072741364995
87,"cake",2,"Social",30,20,0.262960788316815
87,"cake",3,"Social",36,35,0.678240110767089
87,"cake",4,"Social",50,50,0.821621623736688
87,"cake",5,"Social",70,70,0.67434198032924
88,"cake",1,"Social",18,10,0.30015102235542
88,"cake",2,"Social",24,20,0.500473758409423
88,"cake",3,"Social",36,35,0.678240110767089
88,"cake",4,"Social",50,50,0.821621623736688
88,"cake",5,"Social",70,70,0.67434198032924
89,"cake",1,"Social",20,10,0.109780395068684
89,"cake",2,"Social",30,20,0.262960788316815
89,"cake",3,"Social",40,35,0.169560027691772
89,"cake",4,"Social",60,50,0.66682334680079
89,"cake",5,"Social",80,70,0.323205327850108
90,"cake",1,"Social",30,10,0.842072741364995
90,"cake",2,"Social",30,20,0.262960788316815
90,"cake",3,"Social",40,35,0.169560027691772
90,"cake",4,"Social",55,50,0.0773991384679493
90,"cake",5,"Social",70,70,0.67434198032924
91,"cake",1,"Social",10,10,1.06163353150236
91,"cake",2,"Social",20,20,1.00943012289358
91,"cake",3,"Social",35,35,0.805410131535918
91,"cake",4,"Social",50,50,0.821621623736688
91,"cake",5,"Social",70,70,0.67434198032924
92,"cake",1,"Social",30,10,0.842072741364995
92,"cake",2,"Social",30,20,0.262960788316815
92,"cake",3,"Social",50,35,1.10214017999652
92,"cake",5,"Social",90,70,1.32075263602946
93,"cake",1,"Social",20,10,0.109780395068684
93,"cake",2,"Social",20,20,1.00943012289358
93,"cake",3,"Social",35,35,0.805410131535918
93,"cake",4,"Social",50,50,0.821621623736688
93,"cake",5,"Social",75,70,0.175568326239566
94,"cake",1,"Social",38,10,1.60355525051194
94,"cake",2,"Social",40,20,1.53535169952721
94,"cake",3,"Social",50,35,1.10214017999652
94,"cake",4,"Social",60,50,0.66682334680079
94,"cake",5,"Social",75,70,0.175568326239566
95,"cake",1,"Social",12,10,0.871262904215628
95,"cake",2,"Social",22,20,0.754951940651502
95,"cake",3,"Social",37,35,0.55107008999826
95,"cake",4,"Social",53,50,0.375088132575445
95,"cake",5,"Social",73,70,0.375077787875436
96,"cake",1,"Social",45,10,2.26985244601551
96,"cake",2,"Social",45,20,2.17154715513241
96,"cake",3,"Social",45,35,0.466290076152373
96,"cake",4,"Social",50,50,0.821621623736688
96,"cake",5,"Social",70,70,0.67434198032924
97,"cake",2,"Social",50,20,2.80774261073761
97,"cake",3,"Social",40,35,0.169560027691772
97,"cake",4,"Social",50,50,0.821621623736688
97,"cake",5,"Social",80,70,0.323205327850108
98,"cake",1,"Social",20,10,0.109780395068684
98,"cake",2,"Social",30,20,0.262960788316815
98,"cake",3,"Social",40,35,0.169560027691772
98,"cake",4,"Social",60,50,0.66682334680079
98,"cake",5,"Social",80,70,0.323205327850108
99,"cake",1,"Social",10,10,1.06163353150236
99,"cake",2,"Social",20,20,1.00943012289358
99,"cake",3,"Social",35,35,0.805410131535918
99,"cake",4,"Social",50,50,0.821621623736688
99,"cake",5,"Social",70,70,0.67434198032924
100,"cake",1,"Social",20,10,0.109780395068684
100,"cake",2,"Social",25,20,0.373234667288383
100,"cake",3,"Social",40,35,0.169560027691772
100,"cake",4,"Social",50,50,0.821621623736688
100,"cake",5,"Social",70,70,0.67434198032924
101,"cake",1,"Social",15,10,0.585706963285524
101,"cake",2,"Social",30,20,0.262960788316815
101,"cake",3,"Social",40,35,0.169560027691772
101,"cake",4,"Social",60,50,0.66682334680079
101,"cake",5,"Social",75,70,0.175568326239566
102,"cake",1,"Social",12,10,0.871262904215628
102,"cake",2,"Social",25,20,0.373234667288383
102,"cake",3,"Social",40,35,0.169560027691772
102,"cake",4,"Social",60,50,0.66682334680079
102,"cake",5,"Social",90,70,1.32075263602946
103,"cake",1,"Social",20,10,0.109780395068684
103,"cake",2,"Social",25,20,0.373234667288383
103,"cake",3,"Social",38,35,0.423900069229431
103,"cake",4,"Social",50,50,0.821621623736688
103,"cake",5,"Social",70,70,0.67434198032924
104,"cake",1,"Social",20,10,0.109780395068684
104,"cake",2,"Social",30,20,0.262960788316815
104,"cake",3,"Social",40,35,0.169560027691772
104,"cake",4,"Social",60,50,0.66682334680079
104,"cake",5,"Social",80,70,0.323205327850108
105,"cake",1,"Social",45,10,2.26985244601551
105,"cake",2,"Social",45,20,2.17154715513241
105,"cake",3,"Social",45,35,0.466290076152373
105,"cake",4,"Social",50,50,0.821621623736688
105,"cake",5,"Social",70,70,0.67434198032924
